Date,Description,Amount,Category
01/03/2026,PAYROLL DIRECT DEPOSIT,3200.00,Income
01/04/2026,WHOLE FOODS MARKET,-86.42,Groceries
01/05/2026,SHELL GAS STATION,-48.10,Transport
01/07/2026,NETFLIX.COM,-15.99,Subscriptions
01/09/2026,RENT PAYMENT,-1450.00,Housing
01/12/2026,STARBUCKS,-6.75,Dining
01/15/2026,PAYROLL DIRECT DEPOSIT,3200.00,Income
01/16/2026,AMAZON MARKETPLACE,-124.30,Shopping
01/18/2026,ELECTRIC UTILITY,-92.18,Utilities
01/20/2026,TRADER JOES,-63.27,Groceries
01/22/2026,UBER TRIP,-22.40,Transport
01/25/2026,GYM MEMBERSHIP,-39.99,Health
01/28/2026,RESTAURANT DINNER,-78.50,Dining
02/03/2026,PAYROLL DIRECT DEPOSIT,3200.00,Income
02/04/2026,WHOLE FOODS MARKET,-91.15,Groceries
02/09/2026,RENT PAYMENT,-1450.00,Housing
02/14/2026,FLOWER SHOP,-55.00,Shopping
02/15/2026,PAYROLL DIRECT DEPOSIT,3200.00,Income
